iucn2020_binomial,input_name
Megaerops wetmorei,Megaerops wetmorei
Megaloglossus azagnyi,Megaloglossus azagnyi
Megaloglossus azagnyi,Megaloglossus woermanni
Megaloglossus woermanni,Megaloglossus woermanni
Megalomys desmarestii,Megalomys desmarestii
Megalomys luciae,Megalomys luciae
Megaoryzomys curioi,Megaoryzomys curioi
Megaptera novaeangliae,Megaptera novaeangliae
Megasorex gigas,Megasorex gigas
Melanomys caliginosus,Melanomys caliginosus
Melanomys robustulus,Melanomys robustulus
Melanomys zunigae,Melanomys zunigae
Melasmothrix naso,Melasmothrix naso
Meles anakuma,Meles anakuma
Meles leucurus,Meles leucurus
Meles meles,Meles meles
Mellivora capensis,Mellivora capensis
Melogale cucphuongensis,Melogale cucphuongensis
Melogale everetti,Melogale everetti
Melogale moschata,Melogale moschata
Melogale orientalis,Melogale orientalis
Melogale personata,Melogale personata
Melomys aerosus,Melomys aerosus
Melomys arcium,Melomys arcium
Melomys bannisteri,Melomys bannisteri
Melomys bougainville,Melomys bougainville
Melomys burtoni,Melomys burtoni
Melomys capensis,Melomys capensis
Melomys caurinus,Melomys caurinus
Melomys cervinipes,Melomys cervinipes
Melomys cooperae,Melomys cooperae
Melomys dollmani,Melomys dollmani
Melomys fraterculus,Melomys fraterculus
Melomys frigicola,Melomys frigicola
Melomys fulgens,Melomys fulgens
Melomys howi,Melomys howi
Melomys leucogaster,Melomys leucogaster
Melomys lutillus,Melomys lutillus
Melomys matambuai,Melomys matambuai
Melomys obiensis,Melomys obiensis
Melomys paveli,Melomys paveli
Melomys rubicola,Melomys rubicola
Melomys rufescens,Melomys rufescens
Melomys talaudium,Melomys talaudium
Melonycteris fardoulisi,Melonycteris fardoulisi
Melonycteris melanops,Melonycteris melanops
Melonycteris woodfordi,Melonycteris woodfordi
Melursus ursinus,Melursus ursinus
Menetes berdmorei,Menetes berdmorei
Mephitis macroura,Mephitis macroura
Mephitis mephitis,Mephitis mephitis
Meriones arimalius,Meriones arimalius
Meriones chengi,Meriones chengi
Meriones crassus,Meriones crassus
Meriones dahli,Meriones dahli
Meriones grandis,Meriones grandis
Meriones hurrianae,Meriones hurrianae
Meriones libycus,Meriones libycus
Meriones meridianus,Meriones meridianus
Meriones persicus,Meriones persicus
Meriones rex,Meriones rex
Meriones sacramenti,Meriones sacramenti
Meriones shawi,Meriones shawi
Meriones tamariscinus,Meriones tamariscinus
Meriones tristrami,Meriones tristrami
Meriones unguiculatus,Meriones unguiculatus
Meriones vinogradovi,Meriones vinogradovi
Meriones zarudnyi,Meriones zarudnyi
Mesechinus dauuricus,Mesechinus dauuricus
Mesechinus hughi,Mesechinus hughi
Mesembriomys gouldii,Mesembriomys gouldii
Mesembriomys macrurus,Mesembriomys macrurus
Mesocapromys angelcabrerai,Mesocapromys angelcabrerai
Mesocapromys auritus,Mesocapromys auritus
Mesocapromys nanus,Mesocapromys nanus
Mesocapromys sanfelipensis,Mesocapromys sanfelipensis
Mesocricetus auratus,Mesocricetus auratus
Mesocricetus brandti,Mesocricetus brandti
Mesocricetus newtoni,Mesocricetus newtoni
Mesocricetus raddei,Mesocricetus raddei
Mesomys hispidus,Mesomys hispidus
Mesomys leniceps,Mesomys leniceps
Mesomys occultus,Mesomys occultus
Mesomys stimulax,Mesomys stimulax
Mesophylla macconnelli,Mesophylla macconnelli
Mesoplodon bidens,Mesoplodon bidens
Mesoplodon bowdoini,Mesoplodon bowdoini
Mesoplodon carlhubbsi,Mesoplodon carlhubbsi
Mesoplodon densirostris,Mesoplodon densirostris
Mesoplodon europaeus,Mesoplodon europaeus
Mesoplodon ginkgodens,Mesoplodon ginkgodens
Mesoplodon grayi,Mesoplodon grayi
Mesoplodon hectori,Mesoplodon hectori
Mesoplodon hotaula,Mesoplodon ginkgodens
Mesoplodon hotaula,Mesoplodon hotaula
Mesoplodon layardii,Mesoplodon layardii
Mesoplodon mirus,Mesoplodon mirus
Mesoplodon perrini,Mesoplodon perrini
Mesoplodon peruvianus,Mesoplodon peruvianus
Mesoplodon stejnegeri,Mesoplodon stejnegeri
Mesoplodon traversii,Mesoplodon traversii
Metachirus nudicaudatus,Metachirus nudicaudatus
Micaelamys granti,Aethomys granti
Micaelamys granti,Micaelamys granti
Micaelamys namaquensis,Aethomys namaquensis
Micaelamys namaquensis,Micaelamys namaquensis
Mico acariensis,Callithrix acariensis
Mico acariensis,Mico acariensis
Mico argentatus,Callithrix argentata
Mico argentatus,Mico argentatus
Mico chrysoleucos,Callithrix chrysoleuca
Mico chrysoleucos,Mico chrysoleucos
Mico chrysoleucos,Mico chrysoleucus
Mico emiliae,Callithrix emiliae
Mico emiliae,Mico emiliae
Mico humeralifer,Callithrix humeralifera
Mico humeralifer,Mico humeralifer
Mico intermedius,Callithrix intermedia
Mico intermedius,Mico intermedius
Mico leucippe,Callithrix leucippe
Mico leucippe,Mico leucippe
Mico marcai,Callithrix manicorensis
Mico marcai,Callithrix marcai
Mico marcai,Mico manicorensis
Mico marcai,Mico marcai
Mico mauesi,Callithrix mauesi
Mico mauesi,Mico mauesi
Mico melanurus,Callithrix melanura
Mico melanurus,Mico melanurus
Mico munduruku,Not recognised
Mico nigriceps,Callithrix nigriceps
Mico nigriceps,Mico nigriceps
Mico rondoni,Mico rondoni
Mico rondoni,Mico sp.
Mico saterei,Callithrix saterei
Mico saterei,Mico saterei
Microakodontomys transitorius,Microakodontomys transitorius
Microcavia australis,Microcavia australis
Microcavia niata,Microcavia niata
Microcavia shiptoni,Microcavia shiptoni
Microcebus arnholdi,Microcebus arnholdi
Microcebus berthae,Microcebus berthae
Microcebus bongolavensis,Microcebus bongolavensis
Microcebus boraha,Microcebus simmonsi
Microcebus danfossi,Microcebus danfossi
Microcebus danfossi,Microcebus danfossorum
Microcebus ganzhorni,Microcebus murinus
Microcebus gerpi,Microcebus gerpi
Microcebus griseorufus,Microcebus griseorufus
Microcebus jollyae,Microcebus jollyae
Microcebus lehilahytsara,Microcebus lehilahytsara
Microcebus macarthurii,Microcebus macarthurii
Microcebus mamiratra,Microcebus mamiratra
Microcebus manitatra,Microcebus murinus
Microcebus margotmarshae,Microcebus margotmarshae
Microcebus marohita,Microcebus marohita
Microcebus mittermeieri,Microcebus mittermeieri
Microcebus murinus,Microcebus murinus
Microcebus myoxinus,Microcebus myoxinus
Microcebus ravelobensis,Microcebus ravelobensis
Microcebus rufus,Microcebus rufus
Microcebus sambiranensis,Microcebus sambiranensis
Microcebus simmonsi,Microcebus simmonsi
Microcebus tanosi,Not recognised
Microcebus tavaratra,Microcebus tavaratra
Microdillus peeli,Microdillus peeli
Microdipodops megacephalus,Microdipodops megacephalus
Microdipodops pallidus,Microdipodops pallidus
Microgale brevicaudata,Microgale brevicaudata
Microgale cowani,Microgale cowani
Microgale dobsoni,Microgale dobsoni
Microgale drouhardi,Microgale drouhardi
Microgale dryas,Microgale dryas
Microgale fotsifotsy,Microgale fotsifotsy
Microgale gracilis,Microgale gracilis
Microgale grandidieri,Microgale brevicaudata
Microgale grandidieri,Microgale grandidieri
Microgale gymnorhyncha,Microgale gymnorhyncha
Microgale jenkinsae,Microgale jenkinsae
Microgale jobihely,Microgale jobihely
Microgale longicaudata,Microgale longicaudata
Microgale majori,Microgale longicaudata
Microgale majori,Microgale majori
Microgale monticola,Microgale monticola
Microgale nasoloi,Microgale nasoloi
Microgale parvula,Microgale parvula
Microgale principula,Microgale principula
Microgale pusilla,Microgale pusilla
Microgale soricoides,Microgale soricoides
Microgale taiva,Microgale taiva
Microgale talazaci,Microgale talazaci
Microgale thomasi,Microgale thomasi
Microhydromys argenteus,Microhydromys argenteus
Microhydromys argenteus,Microhydromys richardsoni
Microhydromys richardsoni,Microhydromys richardsoni
Micromys minutus,Micromys minutus
Micronycteris brosseti,Micronycteris brosseti
Micronycteris buriri,Micronycteris buriri
Micronycteris giovanniae,Micronycteris giovanniae
Micronycteris hirsuta,Micronycteris hirsuta
Micronycteris matses,Micronycteris matses
Micronycteris megalotis,Micronycteris megalotis
Micronycteris microtis,Micronycteris microtis
Micronycteris minuta,Micronycteris homezi
Micronycteris minuta,Micronycteris minuta
Micronycteris sanborni,Micronycteris sanborni
Micronycteris schmidtorum,Micronycteris schmidtorum
Micronycteris yatesi,Micronycteris yatesi
Microperoryctes aplini,Microperoryctes aplini
Microperoryctes aplini,Microperoryctes murina
Microperoryctes longicauda,Microperoryctes longicauda
Microperoryctes murina,Microperoryctes murina
Microperoryctes ornata,Microperoryctes longicauda
Microperoryctes papuensis,Microperoryctes papuensis
Micropotamogale lamottei,Micropotamogale lamottei
Micropotamogale ruwenzorii,Micropotamogale ruwenzorii
Micropteropus intermedius,Micropteropus intermedius
Micropteropus pusillus,Micropteropus pusillus
Microryzomys altissimus,Microryzomys altissimus
Microryzomys minutus,Microryzomys minutus
Microsciurus alfari,Microsciurus alfari
Microsciurus flaviventer,Microsciurus flaviventer
Microsciurus mimulus,Microsciurus mimulus
Microsciurus santanderensis,Microsciurus santanderensis
Microtus abbreviatus,Microtus abbreviatus
Microtus agrestis,Microtus agrestis
Microtus anatolicus,Microtus anatolicus
Microtus arvalis,Microtus arvalis
Microtus bavaricus,Microtus bavaricus
Microtus brachycercus,Microtus brachycercus
Microtus breweri,Microtus breweri
Microtus cabrerae,Microtus cabrerae
Microtus californicus,Microtus californicus
Microtus canicaudus,Microtus canicaudus
Microtus chrotorrhinus,Microtus chrotorrhinus
Microtus clarkei,Microtus clarkei
Microtus daghestanicus,Microtus daghestanicus
Microtus dogramacii,Microtus dogramacii
Microtus duodecimcostatus,Microtus duodecimcostatus
Microtus elbeyli,Microtus elbeyli
Microtus elbeyli,Microtus irani
Microtus evoronensis,Microtus evoronensis
Microtus felteni,Microtus felteni
Microtus fortis,Microtus fortis
Microtus gerbei,Microtus gerbei
Microtus gregalis,Microtus gregalis
Microtus guatemalensis,Microtus guatemalensis
Microtus guentheri,Microtus guentheri
Microtus hyperboreus,Microtus hyperboreus
Microtus ilaeus,Microtus ilaeus
Microtus irani,Microtus irani
Microtus kermanensis,Microtus kermanensis
Microtus kermanensis,Microtus transcaspicus
Microtus kikuchii,Microtus kikuchii
Microtus levis,Microtus levis
Microtus liechtensteini,Microtus liechtensteini
Microtus limnophilus,Microtus limnophilus
Microtus longicaudus,Microtus longicaudus
Microtus lusitanicus,Microtus lusitanicus
Microtus majori,Microtus majori
Microtus maximowiczii,Microtus maximowiczii
Microtus mexicanus,Microtus mexicanus
Microtus middendorffii,Microtus middendorffii
Microtus miurus,Microtus miurus
Microtus mongolicus,Microtus mongolicus
Microtus montanus,Microtus montanus
Microtus montebelli,Microtus montebelli
Microtus mujanensis,Microtus mujanensis
Microtus multiplex,Microtus multiplex
Microtus nasarovi,Microtus nasarovi
Microtus oaxacensis,Microtus oaxacensis
Microtus ochrogaster,Microtus ochrogaster
Microtus oeconomus,Microtus oeconomus
Microtus oregoni,Microtus oregoni
Microtus paradoxus,Microtus paradoxus
Microtus pennsylvanicus,Microtus pennsylvanicus
Microtus pinetorum,Microtus pinetorum
Microtus qazvinensis,Microtus qazvinensis
Microtus quasiater,Microtus quasiater
Microtus richardsoni,Microtus richardsoni
Microtus sachalinensis,Microtus sachalinensis
Microtus savii,Microtus savii
Microtus schelkovnikovi,Microtus schelkovnikovi
Microtus schidlovskii,Microtus schidlovskii
Microtus socialis,Microtus socialis
Microtus subterraneus,Microtus subterraneus
Microtus tatricus,Microtus tatricus
Microtus thomasi,Microtus thomasi
Microtus townsendii,Microtus townsendii
Microtus transcaspicus,Microtus transcaspicus
Microtus umbrosus,Microtus umbrosus
Microtus xanthognathus,Microtus xanthognathus
Millardia gleadowi,Millardia gleadowi
Millardia kathleenae,Millardia kathleenae
Millardia kondana,Millardia kondana
Millardia meltada,Millardia meltada
Mimetillus moloneyi,Mimetillus moloneyi
Mimon bennettii,Mimon bennettii
Mimon cozumelae,Mimon cozumelae
Mindomys hammondi,Mindomys hammondi
Mindomys hammondi,Oryzomys hammondi
Miniopterus aelleni,Miniopterus aelleni
Miniopterus aelleni,Miniopterus manavi
Miniopterus africanus,Miniopterus africanus
Miniopterus ambohitrensis,Miniopterus ambohitrensis
Miniopterus ambohitrensis,Miniopterus manavi
Miniopterus australis,Miniopterus australis
Miniopterus brachytragos,Miniopterus brachytragos
Miniopterus brachytragos,Miniopterus manavi
Miniopterus egeri,Miniopterus egeri
Miniopterus egeri,Miniopterus fraterculus
Miniopterus egeri,Miniopterus petersoni
Miniopterus fraterculus,Miniopterus fraterculus
Miniopterus fuscus,Miniopterus fuscus
Miniopterus gleni,Miniopterus gleni
Miniopterus griffithsi,Miniopterus gleni
Miniopterus griffithsi,Miniopterus griffithsi
Miniopterus griveaudi,Miniopterus griveaudi
Miniopterus griveaudi,Miniopterus minor
Miniopterus inflatus,Miniopterus inflatus
Miniopterus macrocneme,Miniopterus macrocneme
Miniopterus macrocneme,Minopterus macrocneme
Miniopterus maghrebensis,Miniopterus maghrebensis
Miniopterus maghrebensis,Miniopterus schreibersii
Miniopterus magnater,Miniopterus magnater
Miniopterus mahafaliensis,Miniopterus mahafaliensis
Miniopterus mahafaliensis,Miniopterus manavi
Miniopterus majori,Miniopterus majori
Miniopterus manavi,Miniopterus manavi
Miniopterus medius,Miniopterus medius
Miniopterus minor,Miniopterus minor
Miniopterus natalensis,Miniopterus natalensis
Miniopterus newtoni,Miniopterus minor
Miniopterus newtoni,Miniopterus newtoni
Miniopterus pallidus,Miniopterus schreibersii
Miniopterus paululus,Miniopterus paululus
Miniopterus petersoni,Miniopterus fraterculus
Miniopterus petersoni,Miniopterus petersoni
Miniopterus pusillus,Miniopterus pusillus
Miniopterus robustior,Miniopterus robustior
Miniopterus schreibersii,Miniopterus fuliginosus
Miniopterus schreibersii,Miniopterus oceanensis
Miniopterus schreibersii,Miniopterus schreibersi
Miniopterus schreibersii,Miniopterus schreibersii
Miniopterus shortridgei,Miniopterus shortridgei
Miniopterus sororculus,Miniopterus fraterculus
Miniopterus sororculus,Miniopterus sororculus
Miniopterus tristis,Miniopterus tristis
Miopithecus ogouensis,Miopithecus ogouensis
Miopithecus talapoin,Miopithecus talapoin
Mirimiri acrodonta,Mirimiri acrodonta
Mirimiri acrodonta,Pteralopex acrodonta
Mirounga angustirostris,Mirounga angustirostris
Mirounga leonina,Mirounga leonina
Mirza coquereli,Mirza coquereli
Mirza zaza,Mirza coquereli
Mirza zaza,Mirza zaza
Mirzamys louiseae,Mirzamys louiseae
Mirzamys louiseae,Pseudohydromys occidentalis
Mirzamys norahae,Mirzamys norahae
Mogera etigo,Mogera etigo
Mogera etigo,Mogera tokudae
Mogera imaizumii,Mogera imaizumii
Mogera insularis,Mogera insularis
Mogera robusta,Mogera robusta
Mogera robusta,Mogera wogura
Mogera tokudae,Mogera tokudae
Mogera uchidai,Mogera uchidai
Mogera wogura,Mogera wogura
Molossops aequatorianus,Molossops aequatorianus
Molossops mattogrossensis,Molossops mattogrossensis
Molossops neglectus,Molossops neglectus
Molossops temminckii,Molossops temminckii
Molossus alvarezi,Molossus alvarezi
Molossus aztecus,Molossus aztecus
Molossus bondae,Molossus bondae
Molossus bondae,Molossus currentium
Molossus coibensis,Molossus barnesi
Molossus coibensis,Molossus coibensis
Molossus currentium,Molossus currentium
Molossus molossus,Molossus molossus
Molossus pretiosus,Molossus pretiosus
Molossus rufus,Molossus rufus
Molossus sinaloae,Molossus sinaloae
Monachus monachus,Monachus monachus
Monodelphis adusta,Monodelphis adusta
Monodelphis americana,Monodelphis americana
Monodelphis americana,Monodelphis rubida
Monodelphis americana,Monodelphis umbristriata
Monodelphis brevicaudata,Monodelphis brevicaudata
Monodelphis dimidiata,Monodelphis dimidiata
Monodelphis dimidiata,Monodelphis sorex
Monodelphis domestica,Monodelphis domestica
Monodelphis emiliae,Monodelphis emiliae
Monodelphis glirina,Monodelphis glirina
Monodelphis glirina,Monodelphis maraxina
Monodelphis handleyi,Monodelphis handleyi
Monodelphis iheringi,Monodelphis iheringi
Monodelphis kunsi,Monodelphis kunsi
Monodelphis osgoodi,Monodelphis osgoodi
Monodelphis palliolata,Monodelphis palliolata
Monodelphis peruviana,Monodelphis adusta
Monodelphis peruviana,Monodelphis peruviana
Monodelphis reigi,Monodelphis reigi
Monodelphis ronaldi,Monodelphis ronaldi
Monodelphis scalops,Monodelphis scalops
Monodelphis scalops,Monodelphis theresa
Monodelphis unistriata,Monodelphis unistriata
Monodelphis unistriata,Monodelphis unistriatus
Monodon monoceros,Monodon monoceros
Monophyllus plethodon,Monophyllus plethodon
Monophyllus redmani,Monophyllus redmani
Monticolomys koopmani,Monticolomys koopmani
Mops bakarii,Mops bakarii
Mops brachypterus,Mops brachypterus
Mops brachypterus,Tadarida brachyptera
Mops condylurus,Mops condylurus
Mops condylurus,Tadarida condylura
Mops congicus,Mops congicus
Mops congicus,Tadarida congica
Mops demonstrator,Mops demonstrator
Mops demonstrator,Tadarida demonstrator
Mops leucostigma,Mops leucostigma
Mops leucostigma,Tadarida leucostigma
Mops midas,Mops midas
Mops midas,Tadarida midas
Mops mops,Mops mops
Mops mops,Tadarida mops
Mops nanulus,Mops nanulus
Mops nanulus,Tadarida nanula
Mops niangarae,Mops niangarae
Mops niangarae,Tadarida niangarae
Mops niveiventer,Mops niveiventer
Mops niveiventer,Tadarida niveiventer
Mops petersoni,Mops petersoni
Mops petersoni,Tadarida petersoni
Mops sarasinorum,Mops sarasinorum
Mops sarasinorum,Tadarida sarasinorum
Mops spurrelli,Mops spurrelli
Mops spurrelli,Tadarida spurrelli
Mops thersites,Mops thersites
Mops thersites,Tadarida thersites
Mops trevori,Mops trevori
Mops trevori,Tadarida trevori
Mormoops blainvillei,Mormoops blainvillei
Mormoops megalophylla,Mormoops megalophylla
Mormopterus acetabulosus,Mormopterus acetabulosus
Mormopterus beccarii,Mormopterus beccarii
Mormopterus cobourgianus,Mormopterus cobourgianus
Mormopterus cobourgianus,Mormopterus loriae
Mormopterus doriae,Mormopterus doriae
Mormopterus eleryi,Mormopterus eleryi
Mormopterus eleryi,Mormopterus norfolkensis
Mormopterus francoismoutoui,Mormopterus acetabulosus
Mormopterus francoismoutoui,Mormopterus francoismoutoui
Mormopterus halli,Mormopterus halli
Mormopterus halli,Mormopterus loriae
Mormopterus jugularis,Mormopterus jugularis
Mormopterus kalinowskii,Mormopterus kalinowskii
Mormopterus kitcheneri,Mormopterus kitcheneri
Mormopterus kitcheneri,Mormopterus loriae
Mormopterus kitcheneri,Mormopterus planiceps
Mormopterus lumsdenae,Mormopterus beccarii
Mormopterus lumsdenae,Mormopterus loriae
Mormopterus lumsdenae,Mormopterus lumsdenae
Mormopterus minutus,Mormopterus minutus
Mormopterus norfolkensis,Mormopterus norfolkensis
Mormopterus phrudus,Mormopterus phrudus
Mormopterus planiceps,Mormopterus planiceps
Mormopterus ridei,Mormopterus loriae
Mormopterus ridei,Mormopterus ridei
Moschiola indica,Moschiola indica
Moschiola indica,Moschiola meminna
Moschiola kathygre,Moschiola kathygre
Moschiola kathygre,Moschiola meminna
Moschiola meminna,Moschiola meminna
Moschus anhuiensis,Moschus anhuiensis
Moschus berezovskii,Moschus berezovskii
Moschus chrysogaster,Moschus chrysogaster
Moschus cupreus,Moschus cupreus
Moschus fuscus,Moschus fuscus
Moschus leucogaster,Moschus leucogaster
Moschus moschiferus,Moschus moschiferus
Mosia nigrescens,Mosia nigrescens
Mungos gambianus,Mungos gambianus
Mungos mungo,Mungos mungo
Mungotictis decemlineata,Mungotictis decemlineata
Muntiacus atherodes,Muntiacus atherodes
Muntiacus crinifrons,Muntiacus crinifrons
Muntiacus feae,Muntiacus feae
Muntiacus gongshanensis,Muntiacus gongshanensis
Muntiacus montanus,Muntiacus montanus
Muntiacus montanus,Muntiacus muntjak
Muntiacus muntjak,Muntiacus muntjak
Muntiacus puhoatensis,Muntiacus puhoatensis
Muntiacus putaoensis,Muntiacus putaoensis
Muntiacus reevesi,Muntiacus reevesi
Muntiacus rooseveltorum,Muntiacus rooseveltorum
Muntiacus truongsonensis,Muntiacus truongsonensis
Muntiacus vaginalis,Muntiacus muntjak
Muntiacus vaginalis,Muntiacus vaginalis
Muntiacus vuquangensis,Muntiacus vuquangensis
Murexia habbema,Micromurexia habbema
Murexia habbema,Murexia habbema
Murexia longicaudata,Murexia longicaudata
Murexia melanurus,Antechinus melanurus
Murexia melanurus,Murexechinus melanurus
Murexia melanurus,Murexia melanurus
Murexia naso,Murexia naso
Murexia naso,Phascomurexia naso
Murexia rothschildi,Murexia rothschildi
Murexia rothschildi,Paramurexia rothschildi
Muriculus imberbis,Muriculus imberbis
Murina aenea,Murina aenea
Murina annamitica,Not recognised
Murina aurata,Murina aurata
Murina balaensis,Murina balaensis
Murina beelzebub,Murina beelzebub
Murina bicolor,Murina bicolor
Murina chrysochaetes,Not recognised
Murina cyclotis,Murina cyclotis
Murina eleryi,Not recognised
Murina feae,Not recognised
Murina fionae,Not recognised
Murina florium,Murina florium
Murina fusca,Murina fusca
Murina gracilis,Murina gracilis
Murina guilleni,Murina cyclotis
Murina harpioloides,Not recognised
Murina harrisoni,Murina harrisoni
Murina hilgendorfi,Murina hilgendorfi
Murina huttoni,Murina huttoni
Murina jaintiana,Murina jaintiana
Murina jaintiana,Murina tubinaris
Murina leucogaster,Murina leucogaster
Murina lorelieae,Not recognised
Murina peninsularis,Murina cyclotis
Murina pluvialis,Murina cyclotis
Murina pluvialis,Murina pluvialis
Murina puta,Murina puta
Murina recondita,Murina recondita
Murina rozendaali,Murina rozendaali
Murina ryukyuana,Murina ryukyuana
Murina shuipuensis,Not recognised
Murina suilla,Murina suilla
Murina tenebrosa,Murina tenebrosa
Murina tubinaris,Murina tubinaris
Murina ussuriensis,Murina silvatica
Murina ussuriensis,Murina ussuriensis
Murina walstoni,Not recognised
Mus baoulei,Mus baoulei
Mus booduga,Mus booduga
Mus bufo,Mus bufo
Mus callewaerti,Mus callewaerti
Mus caroli,Mus caroli
Mus cervicolor,Mus cervicolor
Mus cookii,Mus cookii
Mus crociduroides,Mus crociduroides
Mus cypriacus,Mus cypriacus
Mus famulus,Mus famulus
Mus fernandoni,Mus fernandoni
Mus fragilicauda,Mus fragilicauda
Mus goundae,Mus goundae
Mus haussa,Mus haussa
Mus indutus,Mus indutus
Mus macedonicus,Mus macedonicus
Mus mahomet,Mus mahomet
Mus mattheyi,Mus mattheyi
Mus mayori,Mus mayori
Mus minutoides,Mus minutoides
Mus musculoides,Mus musculoides
Mus musculus,Mus musculus
Mus neavei,Mus neavei
Mus oubanguii,Mus oubanguii
Mus pahari,Mus pahari
Mus phillipsi,Mus phillipsi
Mus platythrix,Mus platythrix
Mus saxicola,Mus saxicola
Mus setulosus,Mus setulosus
Mus setzeri,Mus setzeri
Mus shortridgei,Mus shortridgei
Mus sorella,Mus sorella
Mus spicilegus,Mus spicilegus
Mus spretus,Mus spretus
Mus tenellus,Mus tenellus
Mus terricolor,Mus terricolor
Mus triton,Mus triton
Mus vulcani,Mus vulcani
Muscardinus avellanarius,Muscardinus avellanarius
Musonycteris harrisoni,Musonycteris harrisoni
Musseromys anacuao,Musseromys anacuao
Musseromys beneficus,Musseromys beneficus
Musseromys gulantang,Musseromys gulantang
Musseromys inopinatus,Musseromys inopinatus
Mustela africana,Mustela africana
Mustela altaica,Mustela altaica
Mustela erminea,Mustela erminea
Mustela eversmanii,Mustela eversmanii
Mustela felipei,Mustela felipei
Mustela frenata,Mustela frenata
Mustela itatsi,Mustela itatsi
Mustela kathiah,Mustela kathiah
Mustela lutreola,Mustela lutreola
Mustela lutreolina,Mustela lutreolina
Mustela nigripes,Mustela nigripes
Mustela nivalis,Mustela nivalis
Mustela nudipes,Mustela nudipes
Mustela putorius,Mustela putorius
Mustela russelliana,Mustela nivalis
Mustela russelliana,Mustela russelliana
Mustela sibirica,Mustela sibirica
Mustela strigidorsa,Mustela strigidorsa
Mustela subpalmata,Mustela subpalmata
Mustela tonkinensis,Mustela nivalis
Mustela tonkinensis,Mustela tonkinensis
Mydaus javanensis,Mydaus javanensis
Mydaus marchei,Mydaus marchei
Mylomys dybowskii,Mylomys dybowskii
Mylomys rex,Mylomys rex
Myocastor coypus,Myocastor coypus
Myodes andersoni,Myodes andersoni
Myodes andersoni,Myodes imaizumii
Myodes californicus,Myodes californicus
Myodes centralis,Myodes centralis
Myodes gapperi,Myodes gapperi
Myodes glareolus,Myodes glarelus
Myodes glareolus,Myodes glareolus
Myodes regulus,Myodes regulus
Myodes rex,Myodes rex
Myodes rufocanus,Clethrionomys rufocanus
Myodes rufocanus,Myodes rufocanus
Myodes rutilus,Myodes rutilus
Myodes shanseius,Myodes shanseius
Myodes smithii,Myodes smithii
Myoictis leucura,Myoictis leucura
Myoictis melas,Myoictis melas
Myoictis wallacei,Myoictis wallacei
Myoictis wallacei,Myoictis wallacii
Myoictis wavicus,Myoictis melas
Myoictis wavicus,Myoictis wavicus
Myomimus personatus,Myomimus personatus
Myomimus roachi,Myomimus roachi
Myomimus setzeri,Myomimus setzeri
Myomyscus angolensis,Myomyscus angolensis
Myomyscus brockmani,Myomyscus brockmani
Myomyscus verreauxii,Myomyscus verreauxii
Myomyscus yemeni,Myomyscus yemeni
Myonycteris brachycephala,Myonycteris brachycephala
Myonycteris leptodon,Myonycteris leptodon
Myonycteris leptodon,Myonycteris torquata
Myonycteris relicta,Myonycteris relicta
Myonycteris torquata,Myonycteris torquata
Myoprocta acouchy,Myoprocta acouchy
Myoprocta pratti,Myoprocta pratti
Myopterus daubentonii,Myopterus daubentonii
Myopterus whitleyi,Myopterus whitleyi
Myopus schisticolor,Myopus schisticolor
Myosciurus pumilio,Myosciurus pumilio
Myosorex babaulti,Myosorex babaulti
Myosorex blarina,Myosorex blarina
Myosorex bururiensis,Myosorex bururiensis
Myosorex cafer,Myosorex cafer
Myosorex eisentrauti,Myosorex eisentrauti
Myosorex geata,Myosorex geata
Myosorex gnoskei,Myosorex gnoskei
Myosorex jejei,Myosorex jejei
Myosorex kabogoensis,Myosorex kabogoensis
Myosorex kihaulei,Myosorex kihaulei
Myosorex longicaudatus,Myosorex longicaudatus
Myosorex meesteri,Myosorex cafer
Myosorex okuensis,Myosorex okuensis
Myosorex rumpii,Myosorex rumpii
Myosorex schalleri,Myosorex schalleri
Myosorex sclateri,Myosorex sclateri
Myosorex tenuis,Myosorex tenuis
Myosorex varius,Myosorex varius
Myosorex zinki,Myosorex zinki
Myospalax aspalax,Myospalax aspalax
Myospalax myospalax,Myospalax myospalax
Myospalax psilurus,Myospalax psilurus
Myotis adversus,Myotis adversus
Myotis aelleni,Myotis aelleni
Myotis albescens,Myotis albescens
Myotis alcathoe,Myotis alcathoe
Myotis alcathoe,Myotis mystacinus
Myotis altarium,Myotis altarium
Myotis anjouanensis,Myotis anjouanensis
Myotis annamiticus,Myotis annamiticus
Myotis annatessae,Myotis annatessae
Myotis annectans,Myotis annectans
Myotis atacamensis,Myotis atacamensis
Myotis ater,Myotis ater
Myotis aurascens,Myotis aurascens
Myotis aurascens,Myotis mystacinus
Myotis auriculus,Myotis auriculus
Myotis australis,Myotis australis
Myotis austroriparius,Myotis austroriparius
Myotis badius,Myotis badius
Myotis bechsteinii,Myotis bechsteini
Myotis bechsteinii,Myotis bechsteinii
Myotis blythii,Myotis blythii
Myotis blythii,Myotis oxygnathus
Myotis bocagii,Myotis bocagei
Myotis bocagii,Myotis bocagii
Myotis bombinus,Myotis bombinus
Myotis borneoensis,Myotis borneoensis
Myotis borneoensis,Myotis montivagus
Myotis brandtii,Myotis brandtii
Myotis bucharensis,Myotis bucharensis
Myotis californicus,Myotis californicus
Myotis capaccinii,Myotis capaccinii
Myotis chiloensis,Myotis chiloensis
Myotis chinensis,Myotis chinensis
