species,Synurbic,cites,Type of anth roosting structure,Reference 1,Reference 2,Reference 3,Complete,Reference No,Year(s) of Pub,Comments,
Lonchophylla orcesi,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting information not found, data deficient, rare",
Lonchophylla orienticollina,0,0,,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,"leaving as NA, roosting information not found, data deficient",
Lonchophylla peracchii,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting information not found, records are of mist nettings",
Lonchophylla robusta,1,0,cave-like anthropogenic structures,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,"GBIF mentions anthropogenic structures but does not list them, cannot find evidence or specific structure, Only cave roosting records and roosting under boulders",
Lonchophylla thomasi,0,0,NA,https://digitallibrary.amnh.org/handle/2246/1634,,,yes,210,1998,roosts in tree hollows and fallen trees,
Lonchorhina aurita,1,5,mine tunnels,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
Lonchorhina fernandezi,0,0,NA,https://digitallibrary.amnh.org/handle/2246/1634,,,yes,210,1998,cave roosting,
Lonchorhina inusitata,0,0,NA,https://digitalcommons.unl.edu/museummammalogy/113/,,,yes,232,2007,recorded in a cave ,
Lonchorhina marinkellei,0,0,NA,https://doi.org/10.1093/mspecies/sex008,,,yes,233,2017,,
Lonchorhina orinocensis,0,0,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
Lophostoma aequatorialis,0,0,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,"Lophostoma occidentale and Lophostoma silvicolum, using L. occidentale",
Lophostoma brasiliense,0,0,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
Lophostoma carrikeri,0,2,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
Lophostoma evotis,1,0,Building,https://doi.org/10.5962/p.226650,,,yes,234,1993,,
Lophostoma kalkoae,0,0,NA,https://doi.org/10.1644/11-MAMM-A-217.1,,,yes,235,2012,,
Lophostoma schulzi,NA,0,,,,,yes,NA,NA,"Leaving as NA, roosting ecology unknown",
Lophostoma silvicolum,0,5,NA,https://www.iucnredlist.org/species/88149202/22041651,,,yes,236,2016,,
Lophostoma yasuni,0,0,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,"Work in 2016 suggests that this should be a synonym for L carrikeri,",
Macroderma gigas,1,16,old mines,https://doi.org/10.2307/3503920,,,yes,237,1986,,
Macroglossus minimus,1,6,under roofs,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,,
Macroglossus sobrinus,1,1,roofs,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,,
Macrophyllum macrophyllum,1,4,"wet tunnels, under bridges, and abandoned buildings",https://doi.org/10.2307/3503986,,,yes,238,1975,,
Macrotus californicus,1,16,abandoned mines,"Harvey 2011, pg 98",,,yes,96,2011,,
Macrotus waterhousii,1,16,mine tunnels and old buildings,https://doi.org/10.2307/3503913,,,yes,239,1969,,
Megaderma lyra,1,37,temple,https://doi.org/10.2307/2388689,"Nowak 1994, pg 103",,yes,"240, 1","1991, 1994",,
Megaderma spasma,1,7,buildings,https://doi.org/10.2307/2387759,"Nowak 1994, pg 103",,yes,"241, 1","1982, 1994",,
Megaerops ecaudatus,NA,2,,,,,yes,,,IUCN mentions that roost sites change according to food resrources but doesn't provide type of roost. ,
Megaerops kusnotoi,0,0,NA,https://www.iucnredlist.org/species/12945/22024115,,,yes,242,2021,,
Megaerops niphanae,NA,2,,,,,yes,NA,NA,"Leaving as NA, roosting ecology unknown",
Megaerops wetmorei,0,0,NA,https://doi.org/10.11609/jott.1757.7.15.8185-8194,,,yes,243,2015,cave roosting,
Megaloglossus azagnyi,1,1,inside human habitations,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,,
Megaloglossus woermanni,1,3,native hut,"Norwak 1994, pg 82",,,yes,1,1994,,
Melonycteris fardoulisi,0,0,NA,https://www.iucnredlist.org/species/13141/21978862,,,yes,244,2021,,
Melonycteris melanops,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,,
Melonycteris woodfordi,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,,
Mesophylla macconnelli,0,0,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
Micronycteris brosseti,0,0,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
Micronycteris buriri,0,0,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
Micronycteris giovanniae,NA,0,,,,,yes,,,"only one individual collected, no roosting information, leave as NA",
Micronycteris hirsuta,1,2,buildings and under bridges,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
Micronycteris matses,NA,0,NA,https://doi.org/10.1206/0003-0082(2002)358<0001:ANASOM>2.0.CO;2,,,yes,245,2002,found in animal burrows and dark holes ,
Micronycteris megalotis,1,1,houses and under bridges,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
Micronycteris microtis,1,10,"mines, buildings, and culverts",http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
Micronycteris minuta,1,1,mines,https://www.iucnredlist.org/species/13380/22125019,,,yes,246,2015,,
Micronycteris sanborni,0,1,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
Micronycteris schmidtorum,1,1,human constructions,"Ceballos, G. (Ed.). (2014). Mammals of mexico. Johns Hopkins University Press.",,,yes,247,2017,,
Micronycteris yatesi,NA,0,,,,,yes,NA,NA,"Leaving as NA, roosting ecology unknown, data deficient, rare species",
Micropteropus intermedius,0,0,NA,http://doi.org/10.5281/zenodo.6448815,"Norwak 1994, pg 67",,yes,"83, 1","2019, 1994",,
Micropteropus pusillus,0,8,NA,https://doi.org/10.2307/0.577.1,"Norwak 1994, pg 67",,yes,"248, 1","1998, 1994",,
Mimetillus moloneyi,1,0,houses,http://doi.org/10.5281/zenodo.6397752,"Norwak 1994, pg 204",,yes,"154, 1 ","2019, 1994",,
Mimon bennettii,1,2,highway culverts,"Norwak 1994, pg 135",https://doi.org/10.2307/3504246,,yes,"1,  249","1994, 1997",,
Mimon cozumelae,1,2,"mines, culverts",http://doi.org/10.5281/zenodo.6458594,"Norwak 1994, pg 135",,yes,"41, 1","2019, 1994",,
Mimon crenulatum,0,4,abandonded buildings,http://doi.org/10.5281/zenodo.6458594,"Norwak 1994, pg 135",,yes,"41, 1","2019, 1994",,
Mimon koepckeae,NA,0,,,,,yes,NA,NA,"Data deficient, no info on roosting ecology",
Miniopterus aelleni,0,1,NA,https://www.iucnredlist.org/species/81629770/95642245,"Norwak 1994, pg 220",,yes,"250, 1","2017, 1994",,
Miniopterus ambohitrensis,0,1,NA,https://www.iucnredlist.org/species/81633128/95642255,"Norwak 1994, pg 220",,yes,"251, 1","2017, 1994",,
Miniopterus australis,1,3,"abandoned mines, tunnels, water drains, buildings",https://doi.org/10.7882/AZ.1997.009,"Norwak 1994, pg 220",,yes,"252, 1","1997, 1994",,
Miniopterus brachytragos,0,0,NA,https://www.iucnredlist.org/species/81629758/95642235,"Norwak 1994, pg 220",,yes,"253, 1","2017, 1994",,
Miniopterus egeri,0,0,NA,https://www.iucnredlist.org/species/81633146/95642260,"Norwak 1994, pg 220",,yes,"254, 1","2017, 1994",Assumed to roost in rock crevices and tree hollows,
Miniopterus fraterculus,1,0,railroad tunnels and disused mines,"Skinner and Chimimba 2005, pg 295","Norwak 1994, pg 220",,yes,"132, 1","2005, 1994",,
Miniopterus fuliginosus,0,29,abandonded mines,https://doi.org/10.1111/j.1755-0998.2008.02068.x,https://doi.org/10.11614/KSL.2014.47.4.258,,yes,"255, 256","2008, 2014","No IUCN account, the two papers linked both locate caves as roosting sites for these bats",
Miniopterus fuscus,1,1,mines,https://www.iucnredlist.org/species/13564/209553784,"Norwak 1994, pg 220",,yes,"257, 1","2021, 1994",,
Miniopterus gleni,0,2,NA,https://doi.org/10.1007/978-1-4020-6320-6_14,"Norwak 1994, pg 220",,yes,"258, 1","2006, 1994",,
Miniopterus griffithsi,0,0,NA,https://www.researchgate.net/publication/332633028_Seasonal_movements_of_insectivorous_bat_species_in_southwestern_Madagascar,"Norwak 1994, pg 220",,yes,"259, 1","2019, 1994",Presumed to roost in caves according to IUCN,
Miniopterus griveaudi,0,1,NA,https://doi-org.ezproxy.lib.utexas.edu/10.3161/150811010X504635,"Norwak 1994, pg 220",,yes,"260, 1","2010, 1994",Paper mentions not finding them in syanthropic roost sites,
Miniopterus inflatus,1,6,mines,"skinner and Chimimba 2005, pg 294","Norwak 1994, pg 220",,yes,"132, 1","2005, 1994",,
Miniopterus macrocneme,0,0,NA,https://www.iucnredlist.org/species/136579/209529376,"Norwak 1994, pg 220",,yes,"261, 1","2021, 1994",,
Miniopterus maghrebensis,0,1,NA,https://www.iucnredlist.org/species/81633156/95642265,"Norwak 1994, pg 220",,yes,"262, 1","2017, 1994",,
Miniopterus magnater,0,6,NA,https://www.iucnredlist.org/species/13566/209529644,"Norwak 1994, pg 220",,yes,"263,1","2021, 1994",,
Miniopterus mahafaliensis,0,0,NA,https://www.iucnredlist.org/species/81629764/95642240,"Norwak 1994, pg 220",,yes,"264, 1","2017, 1994",,
Miniopterus majori,0,0,NA,https://www.iucnredlist.org/species/40039/22061249,"Norwak 1994, pg 220",,yes,"265, 1","2017, 1994",,
Miniopterus manavi,0,1,NA,"Norwak 1994, pg 220",,,yes,1,1994,"Based on genus trends, mostly cave roosting with few species found in syanthropic roosting sites",
Miniopterus medius,0,0,NA,https://www.iucnredlist.org/species/13567/209529904,"Norwak 1994, pg 220",,yes,"266, 1 ","2021, 1994",,
Miniopterus minor,0,2,NA,https://doi.org/10.1111/j.1439-0310.1990.tb00409.x,"Norwak 1994, pg 220",,yes,"267, 1 ","2010, 1994","Based on genus trends, mostly cave roosting with few species found in syanthropic roosting sites. Cited paper mentions location of roosts in caves.",
Miniopterus mossambicus,1,1,old mine,https://doi.org/10.11646/zootaxa.3746.1.5,,,yes,"268, 1","2013, 1994",,
Miniopterus natalensis,1,12,disused mines,https://www.iucnredlist.org/species/44862/22073129,"Norwak 1994, pg 220",,yes,"289, 1","2017, 1994",,
Miniopterus newtoni,0,0,"tunnels, mines",https://doi.org/10.1007/978-3-031-06153-0_22,"Norwak 1994, pg 220",,yes,"270, 1","2022, 1994",Found in caves near city,
Miniopterus oceanensis,NA,0,,,,,yes,NA,NA,"Leaving NA, taxonomic status unclear, previously a subspecies of Miniopterus schreibersii, now separate with very few search results",
Miniopterus paululus,0,0,NA,https://www.iucnredlist.org/species/136233/22001879,"Norwak 1994, pg 220",,yes,"271, 1","2021, 1994",,
Miniopterus petersoni,0,0,NA,https://www.iucnredlist.org/species/81633135/22035230,"Norwak 1994, pg 220",,yes,"272, 1","2019, 1994",Assumed to roost in caves,
Miniopterus pusillus,1,5,culverts,https://www.iucnredlist.org/species/13569/22103542,"Norwak 1994, pg 220",,yes,"273, 1","2021, 1994",,
Miniopterus robustior,0,0,NA,https://www.iucnredlist.org/species/13570/22103451,"Norwak 1994, pg 220",,yes,"274, 1","2020, 1994",,
Miniopterus schreibersii,1,101,mines and tunnels,https://doi.org/10.2307/3504526,"Norwak 1994, pg 220",,yes,"275, 1","1999, 1994",found to roost in mines and tunnels with Nycteris thebaica,
Miniopterus shortridgei,NA,0,,,,,yes,NA,NA,"no roosting information found, leaving as NA",
Miniopterus sororculus,1,0,building,https://academic.oup.com/jmammal/article/88/5/1216/873834,"Norwak 1994, pg 220",,yes,"276, 1","2007, 1994",source specifies that this bat was found in a building with people in it,
Miniopterus tristis,0,0,NA,https://www.iucnredlist.org/species/13571/209530159,"Norwak 1994, pg 220",,yes,"277, 1","2021, 1994",,
Mirimiri acrodonta,NA,0,,,,,yes,NA,NA,"Leaving as NA, no roosting information. Only single accounts of netting with no confirmed roosting sites",
Molossops aequatorianus,0,0,NA,"Cabrera 1917, pg 20-21 (https://www.biodiversitylibrary.org/part/92644)",,,yes,278,1917,found in a crack of an old tree,
Molossops mattogrossensis,0,0,NA,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,,
Molossops neglectus,1,1,hanging on the wall of a house,https://doi.org/10.1590/S0037-86822011005000018,,,yes,279,2011,,
Molossops temminckii,1,4,Attics and roofs made of overlapping palm logs,https://doi.org/10.1093/mspecies/sez006, https://deepblue.lib.umich.edu/bitstream/handle/2027.42/56409/MP165.pdf,,yes,"280, 281","2019, 1983",,
Molossus alvarezi,NA,1,,,,,yes,NA,NA,"Leaving as NA, not finding roosting information",
Molossus aztecus,1,0,houses,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,,
Molossus barnesi,1,0,roofs ,https://doi.org/10.1016/j.mambio.2016.05.004,,,yes,282,2016,"Synonym with M. coibensis, leaving NA",
Molossus coibensis,1,1,roofs ,https://doi.org/10.1016/j.mambio.2016.05.004,,,yes,282,2016,,
Molossus currentium,1,2,"building, 2nd story porch",https://doi.org/10.2307/0.668.1,http://doi.org/10.5281/zenodo.6418279,,yes,"283, 99","2001, 2019",Previously synonym with M. bondae,
Molossus molossus,1,101,"culverts, tunnels, bridges, attics","Harvey 2011, pg 110-111",,,yes,96,2011,,
Molossus pretiosus,1,1,"buildings, roof dwellings, church roof",http://doi.org/10.5281/zenodo.6418279,https://doi.org/10.2307/0.635.1,,yes,"99, 284","2019, 2000",,
Molossus rufus,1,12,buildings,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,,
Molossus sinaloae,1,4,houses,https://www.iucnredlist.org/species/13650/22106433,,,yes,285,2016,,
Monophyllus plethodon,0,1,NA,http://doi.org/10.5281/zenodo.6458594,"Norwak 1994, pg 141",,yes,"41, 1","2019, 1994",,
Monophyllus redmani,0,6,NA,http://doi.org/10.5281/zenodo.6458594,"Norwak 1994, pg 141",,yes,"41, 1","2019, 1994",,
Mops bakarii,1,0,"buildings, attics, hospital building",http://doi.org/10.5281/zenodo.6418279,"Norwak 1994, pg 241",,yes,"99, 1","2019, 1994",,
Mops brachypterus,1,0,buildings,http://doi.org/10.5281/zenodo.6418279,"Norwak 1994, pg 241",,yes,"99, 1","2019, 1994",,
Mops condylurus,1,14,"attics, joints of bridges",http://doi.org/10.5281/zenodo.6418279,"Norwak 1994, pg 241",,yes,"99, 1","2019, 1994",,
Mops congicus,0,0,NA,http://doi.org/10.5281/zenodo.6418279,"Norwak 1994, pg 241",,yes,"99, 1","2019, 1994",,
Mops demonstrator,0,0,NA,http://doi.org/10.5281/zenodo.6418279,"Norwak 1994, pg 241",,yes,"99, 1","2019, 1994",,
Mops leucostigma,1,1,buildings,http://doi.org/10.5281/zenodo.6418279,"Norwak 1994, pg 241",,yes,"99, 1","2019, 1994",,
Mops midas,1,0,"attics, joints of concrete bridges, and between cement walls or bricks",http://doi.org/10.5281/zenodo.6418279,"Norwak 1994, pg 241",,yes,"99, 1","2019, 1994",,
Mops mops,0,0,NA,http://doi.org/10.5281/zenodo.6418279,"Norwak 1994, pg 241",,yes,"99, 1","2019, 1994",,
Mops nanulus,1,0,thatched houses and sheds,http://doi.org/10.5281/zenodo.6418279,"Norwak 1994, pg 241",,yes,"99, 1","2019, 1994",,
Mops niangarae,0,0,NA,http://doi.org/10.5281/zenodo.6418279,"Norwak 1994, pg 241",,yes,"99, 1","2019, 1994",,
Mops niveiventer,1,0,buildings,http://doi.org/10.5281/zenodo.6418279,"Norwak 1994, pg 241",,yes,"99, 1","2019, 1994",,
Mops petersoni,NA,0,,,,,yes,NA,NA,"Leaving as NA, very few search options, none with roosting info",
Mops sarasinorum,NA,0,,,,,yes,NA,NA,"Leaving as NA, very few search options, none with roosting info, data deficient",
Mops spurrelli,0,0,NA,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,,
Mops thersites,1,0,"under roof, culverts, and drains",http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,,
Mops trevori,0,0,NA,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,,
Mormoops blainvillei,0,1,NA,http://doi.org/10.5281/zenodo.6419781,,,yes,286,2019,,
Mormoops megalophylla,1,11,"mines, tunnels",http://doi.org/10.5281/zenodo.6419781,"Norwak 1994, pg 122",,yes,"286, 1","2019, 1994",,
Mormopterus acetabulosus,0,0,NA,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,,
Mormopterus beccarii,1,0,houses,http://doi.org/10.5281/zenodo.6418279,"Norwak 1994, pg 232",,yes,"99,1","2019, 1994",,
Mormopterus doriae,NA,0,,,,,yes,NA,NA,"Leaving as NA, very few search options, none with roosting info",
Mormopterus eleryi,0,0,NA,http://doi.org/10.5281/zenodo.6418279,,,yes,99,109,,
Mormopterus francoismoutoui,1,4,buildings,https://academic.oup.com/jmammal/article/89/5/1316/1035380?login=true,,,yes,287,2008,,
Mormopterus halli,NA,0,,,,,yes,NA,NA,"Leaving as NA, no roosting information, suspected that they roost in tree hallows but mentions confusion between this species and Ozimops ridei",
Mormopterus jugularis,1,2,"buildings, metal or ceramic roof tiles, attic trusses",https://doi.org/10.1515/MAMM.2009.032,,,yes,288,2009,,
Mormopterus kitcheneri,1,0,buildings ,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,,
Mormopterus loriae,0,0,NA,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,"conflicting info on big a ""building dweller""",
Mormopterus lumsdenae,NA,0,,,,,yes,NA,NA,"Leaving as NA, very few search options, none with roosting info",
Mormopterus minutus,1,0,urban buildings,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,,
Mormopterus norfolkensis,1,1,"under metal caps of wooden power poles, buildings, roostboxes ",http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,,
Mormopterus phrudus,0,0,NA,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,,
Mormopterus planiceps,1,2,buildings,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,,
Mosia nigrescens,1,1,roofs of houses,http://doi.org/10.5281/zenodo.3740269,,,yes,144,2019,,
Murina aenea,0,1,,https://www.iucnredlist.org/species/13936/22091750,,,yes,289,2020,,
Murina annamitica,NA,0,,,,,yes,NA,NA,"Leaving as NA, very few search options, none with roosting info, IUCN mentions that no roost have been located",
Murina aurata,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Murina balaensis,0,0,NA,https://www.iucnredlist.org/species/84487939/84487985,,,yes,290,2017,,
Murina beelzebub,NA,0,,,,,yes,NA,NA,"Leaving as NA, very few search options, none with roosting info, IUCN mentions that no roost have been located",
Murina bicolor,1,0,abandonded bunker,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Murina chrysochaetes,NA,0,,,,,yes,NA,NA,"Leaving as NA, very few search options, none with roosting info, IUCN mentions that no roosting infomation available",
Murina cineracea,NA,0,,,,,yes,NA,NA,"Leaving as NA, very few search options, none with roosting info",
Murina cyclotis,0,1,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Murina eleryi,0,1,NA,https://www.iucnredlist.org/species/84557696/84557699,,,yes,291,2021,,
Murina fionae,NA,0,,,,,yes,NA,NA,"Leaving as NA, very few search options, none with roosting info, IUCN mentions that no roosting infomation available",
Murina florium,1,0,disused buildings,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Murina fusca,NA,0,,,,,yes,NA,NA,"Leaving as NA, very few search options, none with roosting info",
Murina gracilis,NA,2,,,,,yes,NA,NA,"Leaving as NA, very few search options, roosting ecology unknown",
Murina guilleni,NA,0,,,,,yes,NA,NA,"Leaving as NA, very few search options, roosting ecology unknown",
Murina harpioloides,NA,0,,,,,yes,NA,NA,"Leaving as NA, very few search options, roosting ecology unknown",
Murina harrisoni,NA,0,,,,,yes,NA,NA,"Leaving as NA, very few search options, difficulty finding roosting information",
Murina hilgendorfi,1,4,"houses, abandoned tunnels, and bat boxes, flying squirrel nest boxes",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Murina huttoni,0,1,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,banana leaves,
Murina jaintiana,NA,0,,,,,yes,NA,NA,"Leaving as NA, no confirmation on roosting sites",
Murina leucogaster,1,13,houses,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Murina loreliae,NA,0,,,,,yes,NA,NA,"Leaving as NA, no GS search results with just ""Murina loreliae""",
Murina peninsularis,NA,0,,,,,yes,NA,NA,"Leaving as NA, https://doi-org.ezproxy.lib.utexas.edu/10.3161/150811013X678928, states roosting ecology not known",
Murina pluvialis,NA,0,,,,,yes,NA,NA,"Leaving as NA, ",
Murina puta,NA,0,,,,,yes,NA,NA,"Leaving as NA, very few search options, difficulty finding roosting information",
Murina recondita,NA,1,,,,,yes,NA,NA,"Leaving as NA, no roosting information available",
Murina rozendaali,0,0,NA,https://www.iucnredlist.org/species/13945/22097407,,,yes,292,2020,presumed to roost in foilage ,
Murina ryukyuana,0,0,NA,https://doi.org/10.11238/mammalianscience.53.331,,,yes,293,2013,foilage roosting,
Murina shuipuensis,NA,1,,,,,yes,NA,NA,"Leaving as NA, IUCN states roosting is unkown and data deficient",
Murina suilla,0,1,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Murina tenebrosa,1,0,abandonded mine,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Murina tiensa,NA,0,,,,,yes,NA,NA,"Leaving as NA, no roosting information available",
Murina tubinaris,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Murina ussuriensis,0,4,"abandonded mines, buildings",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Murina walstoni,NA,0,,,,,yes,NA,NA,"Leaving as NA, no roosting information available, no locations of roosts found",
Musonycteris harrisoni,1,3,culvert,http://doi.org/10.5281/zenodo.6458594,,,yes,154,2019,,
Myonycteris angolensis,1,0,old mine adits,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,,
Myonycteris brachycephala,NA,0,,,,,yes,NA,NA,"Leaving as NA, no roosting information found",
Myonycteris relicta,NA,0,,,,,yes,NA,NA,"Leaving as NA, IUCN states roosting is unkown",
Myonycteris torquata,0,8,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,tree roosting,
Myopterus daubentonii,0,0,NA,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,hollow tree roosting,
Myopterus whitleyi,1,0,roof of rubber packing shed,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,,
Myotis adversus,0,5,railway tunnnel,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis aelleni,1,1,"abandoned houses, abandoned mines, crevices in walls, attic spaces, or be found under tiles or other roofing materials",https://doi.org/10.11646/zootaxa.4446.2.5,https://doi.org/10.1093/mspecies/sev005,,yes,"324, 301","2018, 2015",synonym of M. chiloensis,
Myotis albescens,1,5,"attics, under roofs, under palm logs, roofs of palm thatched huts, outer walls of buildings",https://doi.org/10.1644/846.1,,,yes,234,2009,,
Myotis alcathoe,0,3,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis altarium,0,4,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis anjouanensis,NA,0,,,,,yes,NA,NA,"Leaving as NA, IUCN states roosting is unkown and data deficient",
Myotis annamiticus,NA,0,,,,,yes,NA,NA,"Leaving as NA, IUCN states roosting is unkown and data deficient",
Myotis annectans,NA,1,,,,,yes,NA,NA,"Leaving as NA, IUCN states roosting is unkown ",
Myotis atacamensis,1,0,"churches, old houses, small drainage tunnels",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis ater,1,0,village houses,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis aurascens,1,0,construction joints of bridges,https://koreascience.kr/article/JAKO201912261949296.page,https://koreascience.kr/article/JAKO201330258584088.page,doi: 10.3897/BDJ.7.e34211,yes,"295, 296, 297","2019, 2019, 2019",replaced by Myotis davidii,
Myotis auriculus,1,1,buildlings and mines,"Harvey 2011, pg 152",,,yes,96,2011,,
Myotis australis,NA,0,,,,,yes,NA,NA,"Leaving as NA, IUCN states roosting is unkown and data deficient",
Myotis austroriparius,1,6,"attics, barns, bridges, and mines",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis badius,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis bechsteinii,1,33,"buildings, bird and bat boxes",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis blythii,1,16,"attics, mines, and buildings",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis bocagii,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis bombinus,1,4,"abandoned mines, unused tunnels, buildings, and under bridges",https://www.iucnredlist.org/species/14149/22061650,,,yes,298,2019,,
Myotis brandtii,1,24,"voids and crevices in buildings, bat and bird boxes",https://www.iucnredlist.org/species/85566997/195857637,,,yes,299,2020,,
Myotis bucharensis,0,1,abandoned mines,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis californicus,1,8,mines and buildings,"Harvey 2011, pg 156",,,yes,96,2011,,
Myotis capaccinii,0,13,mines,https://doi.org/10.1644/07-MAMM-A-163R1.1,,,yes,300,2008,,
Myotis chiloensis,1,7,"abandoned houses, abandoned mines, crevices in walls, attic spaces, or be found under tiles or other roofing materials",https://doi.org/10.1093/mspecies/sev005,,,yes,301,2015,,
Myotis chinensis,0,3,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis ciliolabrum,1,7,"buildings, tunnels, mines","Haarvey 2011, 158",,,yes,96,2011,,
Myotis cobanensis,1,0,cathedral,https://doi.org/10.3897/zookeys.1105.85055,,,yes,302,2022,single account of this bat in a cathedral,
Myotis csorbai,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,cave dwelling,
Myotis dasycneme,1,19,"large attics and church steeples,",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis daubentonii,1,91,"buildings, bridges, bat boxes",https://doi.org/10.2307/3504215,,,yes,303,1994,,
Myotis davidii,1,17,NA,http://doi.org/10.5281/zenodo.6397752,doi: 10.3897/BDJ.7.e34211,,yes,"154, 297","2019, 2019",,
Myotis dieteri,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,collected from cave,
Myotis diminutus,NA,0,,,,,yes,NA,NA,"Leaving as NA, no roosting information found on IUCN or GS",
Myotis dinellii,1,0,abandoned house,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,Structure type is based off google translation of Reference 1,
Myotis dominicensis,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis elegans,NA,0,,,,,yes,NA,NA,"Leaving as NA, IUCN states that little is known",
Myotis emarginatus,1,10,"wine cellar, houses, and barns",https://doi.org/10.3161/150811008X331090,https://doi.org/10.1007/s10344-009-0331-y,,yes,"304, 305","2008, 2010",,
Myotis escalerai,1,3,"mines, tunnels, bridges",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis evotis,1,6,"Abandoned buildings, mines","Harvey 2011, pg 160",,,yes,96,2011,,
Myotis fimbriatus,0,4,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,cave roosting,
Myotis findleyi,0,0,NA,https://www.iucnredlist.org/species/14159/22058800,,,yes,306,2016,assumbed to cave or hollow dwelling by IUCN,
Myotis flavus,1,0,Abandonded mine,10.5141/jefb.2009.32.3.191,https://library-archives.canada.ca/eng/services/services-libraries/theses/Pages/item.aspx?idNumber=707816459,,yes,"307, 308","2009, 2008",,
